p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
7.68476635889351e-36,-0.790533381159403,0.046,0.342,2.40540871799726e-31,0,RPL41
1.08049592138995e-35,-1.41155952255202,0.056,0.346,3.38206028354269e-31,0,RBMS3
1.10398926421202e-35,-1.157448969114,0.026,0.303,3.45559679591004e-31,0,ARHGAP26
1.3127934330777e-35,-1.57418234989927,0.014,0.284,4.1091747248765e-31,0,CACNB2
1.58789687249916e-35,0.49925612515549,0.839,0.498,4.97027600060961e-31,0,NFASC
5.95406169042224e-35,-1.17219087756156,0.01,0.275,1.86368084971907e-30,0,ABR
7.15812340001229e-35,-0.678901172912967,0.036,0.314,2.24056420543785e-30,0,RPL10
7.15850205580505e-35,-0.71367405208268,0.096,0.395,2.24068272848754e-30,0,RPL28
1.61109010522966e-34,-1.37189427861777,0,0.254,5.04287313837936e-30,0,CHST11
1.88653140749913e-34,-1.15850589737998,0.038,0.32,5.90503195861303e-30,0,CNTN1
1.94376796565831e-34,-0.648783633023277,0.094,0.399,6.08418810930706e-30,0,EIF1
2.20756536005836e-34,0.538220076080019,0.61,0.287,6.90990033351866e-30,0,SH3TC2
2.20956662146128e-34,0.474795603531102,0.948,0.726,6.91616448183595e-30,0,ZEB2
3.90894305914078e-34,0.453854588214387,0.944,0.699,1.22353826694166e-29,0,FRYL
7.80467023332777e-34,0.463526468938512,0.948,0.579,2.44293982973392e-29,0,TTLL7
1.05444123700932e-33,-1.03645307711918,0.014,0.273,3.30050651596288e-29,0,MEF2C-AS1
1.25034999921027e-33,-1.58454655191199,0.249,0.53,3.91372053252806e-29,0,CTNNA2
1.4780956598904e-33,-1.42630037412009,0.064,0.345,4.62658722502295e-29,0,ARHGAP24
1.53236730360572e-33,-0.727416649184402,0.042,0.321,4.79646289701626e-29,0,RPLP1
1.55423006674789e-33,-2.71654862993788,0.046,0.315,4.86489553192757e-29,0,SLC1A2
1.62157380737524e-33,0.517606657562057,0.629,0.301,5.07568817446525e-29,0,CDK18
1.9345759020895e-33,0.509207857575753,0.851,0.497,6.05541603113034e-29,0,SH3GL3
2.09823422806777e-33,0.505466802683857,0.813,0.531,6.56768295727493e-29,0,RFTN2
2.23229917051902e-33,0.507470104224748,0.869,0.61,6.9873196336416e-29,0,ZFYVE16
2.40638268295249e-33,0.441440159031703,0.928,0.605,7.5322184359096e-29,0,SHTN1
2.55104145897487e-33,-0.945726405520569,0.014,0.271,7.98501487073724e-29,0,MED12L
2.82018125038848e-33,-1.02948860108409,0.608,0.725,8.82744933184097e-29,0,PLCG2
3.38420986219188e-33,-1.64744834752967,0.018,0.274,1.05929152896468e-28,0,RYR3
3.82281214418331e-33,-0.966624762416108,0.054,0.326,1.19657842925082e-28,0,C1orf61
4.06247890436622e-33,-1.19604556890353,0.012,0.266,1.27159652185567e-28,0,CARMIL1
4.06400659696749e-33,0.454636687453244,0.97,0.796,1.27207470491679e-28,0,NCAM2
4.44329597925191e-33,0.479422545455692,0.861,0.616,1.39079607446564e-28,0,KIF13A
5.25660453007008e-33,0.579225556118678,0.865,0.698,1.64536978395723e-28,0,FCHSD2
9.23471306176311e-33,-1.33060925504254,0.012,0.263,2.89055753546247e-28,0,MGAT4C
1.10942248736294e-32,0.558044833153319,0.803,0.551,3.47260332769475e-28,0,NALCN
1.31544438853399e-32,0.439839255489637,0.964,0.775,4.11747248055023e-28,0,ERBIN
1.40085420741876e-32,-0.737568835529669,0.147,0.43,4.38481375464146e-28,0,TSC22D4
1.42300856212992e-32,0.500474132028308,0.618,0.299,4.45415910032285e-28,0,SRCIN1
1.49894089080131e-32,0.505405641634305,0.709,0.384,4.69183488229717e-28,0,MOG
1.90591472514942e-32,0.489324435471311,0.914,0.59,5.96570368119019e-28,0,SLAIN1
1.93019130953386e-32,-1.19039841903523,0.01,0.258,6.04169181797194e-28,0,NHSL1
1.96959499727828e-32,0.508118061119599,0.884,0.611,6.16502930098074e-28,0,KLHL32
1.98298444917123e-32,0.389089793964189,0.992,0.903,6.20693962435088e-28,0,DST
2.29647325074329e-32,0.519123811223601,0.886,0.575,7.18819092215156e-28,0,PEX5L
2.62112828790995e-32,-1.07336073855762,0.028,0.286,8.20439365398695e-28,0,CAMK1D
5.44369540438374e-32,0.472466911987263,0.757,0.432,1.70393109852615e-27,0,PLD1
6.10582112226122e-32,-1.12712745345302,0.159,0.424,1.91118306947899e-27,0,APOD
7.71463261711312e-32,0.540150542502769,0.653,0.362,2.41475715548258e-27,0,TECPR2
7.86900044589782e-32,0.573522363675203,0.464,0.18,2.46307582957048e-27,0,NDE1
1.0264805077169e-31,-1.05196304432704,0.149,0.418,3.21298663720466e-27,0,DBNDD2
1.205391317641e-31,-2.36996862808539,0.159,0.417,3.7729953633481e-27,0,NRXN1
1.76143714749984e-31,0.488905962599237,0.805,0.44,5.51347441538926e-27,0,LINC00639
1.80664919288984e-31,-0.629383215508987,0.044,0.31,5.6549926386645e-27,0,RPL18
2.15610662379008e-31,0.575002080641728,0.819,0.614,6.74882934312533e-27,0,ACYP2
2.17191008664426e-31,0.552597803993263,0.717,0.403,6.79829576220521e-27,0,ATP10B
2.70215744992045e-31,-0.839181973643786,0.014,0.257,8.45802303399599e-27,0,FARP1
2.90410016137455e-31,-0.992586506334535,0.018,0.262,9.09012391511847e-27,0,DGKG
2.96488760645933e-31,0.427561476054148,0.956,0.675,9.28039469697835e-27,0,MAP7
3.2350697106711e-31,0.388199683447552,0.94,0.771,1.01260917013716e-26,0,PTK2
3.93027875622758e-31,-1.26187274774647,0.062,0.325,1.23021655348679e-26,0,FMN2
4.39539206760423e-31,-2.19125161147244,0.028,0.274,1.3758016710808e-26,0,ADGRV1
6.77221970101424e-31,0.43418855708177,0.93,0.698,2.11977248861447e-26,0,ARAP2
7.50244431258153e-31,-0.614899035087582,0.028,0.281,2.34834009428114e-26,0,RPL19
8.19063211494761e-31,0.448588636563282,0.888,0.705,2.56374975829975e-26,0,DOCK3
9.02691684447822e-31,0.488904307984431,0.717,0.453,2.82551524149013e-26,0,TRPC4AP
1.35702938632772e-30,-0.572850733472814,0.022,0.27,4.24763768214441e-26,0,FAU
1.42602991690767e-30,-1.11808028794183,0.062,0.327,4.4636162429127e-26,0,PARD3
1.66090412143463e-30,-1.5866617951244,0.038,0.287,5.19879599050252e-26,0,SAT1
1.66997820136886e-30,0.490782070834601,0.771,0.444,5.22719876810468e-26,0,RAPGEF5
1.92822970727624e-30,0.447856824559723,0.89,0.629,6.03555180674537e-26,0,GAB1
1.92907357747825e-30,0.572400603146895,0.631,0.329,6.03819320486466e-26,0,PPP1R16B
2.30212224216206e-30,-1.08408671922823,0.02,0.262,7.20587283019147e-26,0,PDE7B
2.34234774894821e-30,0.453952032311334,0.865,0.657,7.33178268898278e-26,0,PTBP2
2.52760470374781e-30,0.412136513893175,0.924,0.761,7.91165548320103e-26,0,TJP1
2.53558157670666e-30,0.647591077201498,0.41,0.147,7.93662389324952e-26,0,GREB1L
2.54482957192545e-30,-1.43811394630056,0.07,0.326,7.96557104308385e-26,0,SPARCL1
3.44876880223231e-30,0.440939793695679,0.914,0.533,1.07949912278674e-25,0,TMEM144
3.57200397032649e-30,0.474865517168918,0.675,0.352,1.1180729627519e-25,0,FOLH1
3.71600835303913e-30,-0.844653719158621,0.018,0.258,1.16314777458478e-25,0,OSBPL6
3.88505211778924e-30,-0.660995699689384,0.046,0.303,1.21606016338921e-25,0,RPLP2
4.12111744978428e-30,0.386977840708538,0.914,0.766,1.28995097295698e-25,0,ZNF638
5.48832650044871e-30,0.438714492570552,0.912,0.701,1.71790107790545e-25,0,LIMCH1
7.45644610890192e-30,0.451560489137679,0.869,0.632,2.33394219654739e-25,0,ATP8A1
8.6863700834477e-30,-0.994883614978188,0.032,0.278,2.71892069981996e-25,0,SLC35F1
1.03924174491164e-29,0.443518637969594,0.853,0.62,3.25293058574794e-25,0,HIPK2
1.48309439804573e-29,-1.22499995956114,0.05,0.3,4.64223377532294e-25,0,SOX6
1.55670972477867e-29,-0.530401796116005,0.028,0.275,4.87265710952973e-25,0,RPS14
1.73418043966139e-29,-0.930398242357848,0.118,0.378,5.4281581941841e-25,0,RNASE1
2.40571893011979e-29,-0.580893810096044,0.024,0.264,7.53014082316795e-25,0,RPS2
2.57958129116396e-29,0.426946822001784,0.831,0.473,8.07434739947232e-25,0,UGT8
3.34315275745361e-29,0.430630484687936,0.978,0.588,1.04644024461056e-24,0,MBP
4.8531743817788e-29,0.457329540769011,0.851,0.66,1.51909211324058e-24,0,RNF130
7.29349176505049e-29,-0.853079852068802,0.026,0.263,2.28293585737846e-24,0,NTRK3
7.49591029113334e-29,0.467869859282837,0.749,0.436,2.34629488022765e-24,0,FAM13C
8.05696359380824e-29,-0.599180077442384,0.048,0.296,2.52191017449792e-24,0,SERF2
8.34611124770015e-29,0.480468498140653,0.665,0.362,2.61241628164262e-24,0,SYNJ2
8.81200578852299e-29,0.440479357572579,0.988,0.858,2.75824593186558e-24,0,CADM2
9.52021039795355e-29,0.63765532569219,0.524,0.246,2.97992105666344e-24,0,C5orf64
1.54616387222923e-28,0.381495343825374,0.972,0.85,4.8396475364647e-24,0,FMNL2
1.75199065543761e-28,0.449329012209407,0.767,0.457,5.48390595058527e-24,0,HECW2
1.95609180501979e-28,0.467996016176756,0.731,0.455,6.12276295889244e-24,0,TULP4
2.07122441608361e-28,0.63860416834014,0.5,0.227,6.4831395447833e-24,0,KCNMB4
2.57004130010589e-28,0.571971914919732,0.651,0.368,8.04448627346145e-24,0,DUBR
3.15906967597788e-28,0.575263930789455,0.522,0.239,9.88820399277838e-24,0,DEPTOR
3.66396528266064e-28,-1.6880862509856,0.026,0.256,1.14685777312561e-23,0,MEF2C
3.67227511520441e-28,0.529874708866723,0.763,0.486,1.14945883381013e-23,0,PKP4
5.31316672755465e-28,0.261269637130636,0.725,0.424,1.66307431739188e-23,0,MYO1E
5.34947641715644e-28,-1.20694571634666,0.056,0.299,1.67443961333414e-23,0,GABRB1
6.67041081174602e-28,-1.33270123357729,0.034,0.265,2.08790528818462e-23,0,AC002429.2
1.71022603370249e-27,-2.68381331423805,0.058,0.297,5.35317850809217e-23,0,DPP10
2.05754447753558e-27,-2.34840589177167,0.092,0.332,6.44031996913413e-23,0,GPC5
2.30942860782307e-27,0.522632335743747,0.765,0.526,7.228742485347e-23,0,SPOCK1
2.4808024081954e-27,0.418302434287303,0.789,0.498,7.76515961789241e-23,0,DOCK9
2.67302735825585e-27,0.587437653267611,0.504,0.242,8.36684293407664e-23,0,NINJ2
3.04331548053159e-27,-0.635521437039952,0.229,0.485,9.52588178561193e-23,0,PEBP1
3.57345909329756e-27,-0.639371923844003,0.044,0.278,1.11852843079307e-22,0,RPS25
3.59640344534584e-27,-1.0451333330904,0.341,0.573,1.1257102424277e-22,0,NAV3
3.88244665978093e-27,0.453383865851803,0.751,0.451,1.21524462897803e-22,0,ARFGEF3
4.06750320381716e-27,-0.821966514297011,0.04,0.269,1.27316917782681e-22,0,ACSL6
5.08725987525147e-27,0.402750536035138,0.851,0.616,1.59236321355246e-22,0,ANKIB1
5.11067774006508e-27,-0.705904405787074,0.205,0.465,1.59969323941777e-22,0,PSAP
5.24880169928437e-27,0.614047553428049,0.558,0.296,1.642927419893e-22,0,ZDHHC20
5.66931583071906e-27,-0.615530388763612,0.032,0.263,1.77455254817337e-22,0,RPS11
6.47725454753748e-27,-1.22462423105496,0.058,0.294,2.02744544592471e-22,0,CST3
7.13983643009289e-27,-1.37933585497618,0.251,0.483,2.23484020098338e-22,0,NTRK2
8.62628090954293e-27,0.485321547123475,0.735,0.461,2.70011218749603e-22,0,NCOA7
8.78245370925288e-27,-0.604672727584619,0.058,0.302,2.74899583553324e-22,0,TMSB4X
9.83403704264133e-27,0.461580048367468,0.741,0.462,3.07815193471716e-22,0,KIF13B
1.10798659463175e-26,0.364860475601546,0.96,0.738,3.46810883985683e-22,0,SEPTIN7
1.22598089374765e-26,0.488906117499255,0.781,0.573,3.83744279551951e-22,0,SGK3
1.36728022582491e-26,0.491638067900456,0.705,0.421,4.27972383485455e-22,0,SEMA4D
1.42210586622992e-26,0.423602768358977,0.697,0.379,4.45133357188626e-22,0,ABCA8
1.73985964425462e-26,0.478982524901178,0.757,0.506,5.44593467248138e-22,0,DENND5A
1.79974401611186e-26,-1.51461963187155,0.129,0.37,5.63337874483172e-22,0,SORBS1
2.64132890872896e-26,0.646333957985104,0.506,0.236,8.26762361721251e-22,0,AL354809.1
3.01692428289259e-26,-1.00175324081249,0.056,0.291,9.4432746978821e-22,0,AC073050.1
3.53384231330992e-26,-0.922500425803337,0.052,0.288,1.10612798248914e-21,0,PCDH7
3.7777048068899e-26,-0.621963582220112,0.153,0.409,1.18245938160461e-21,0,H3F3A
4.17547733405088e-26,-0.565217096764071,0.06,0.299,1.30696616033127e-21,0,ACTG1
4.31249232152335e-26,0.539881289553699,0.444,0.191,1.34985322156002e-21,0,CNKSR3
5.3740464425152e-26,0.504899888052028,0.526,0.247,1.68213027697168e-21,0,TTLL11
5.41910868721222e-26,0.436744248090291,0.709,0.427,1.6962352101843e-21,0,IQGAP1
6.13128238783414e-26,-1.19661437688234,0.046,0.27,1.91915270021596e-21,0,CPE
6.46058614738807e-26,-0.722519718477805,0.032,0.258,2.02222806999394e-21,0,TMEM132B
7.84219520076404e-26,0.471733383832259,0.643,0.359,2.45468551979115e-21,0,YPEL2
8.1786465550634e-26,-0.90043982343751,0.048,0.278,2.5599981582004e-21,0,TMEM108
1.14116661820369e-25,-0.627609213396217,0.054,0.282,3.57196563163936e-21,0,RPL23A
1.48742918726501e-25,0.639814808701339,0.719,0.493,4.65580209905822e-21,0,LMCD1-AS1
1.49735209581145e-25,0.454337521389074,0.914,0.602,4.68686179509941e-21,0,NRXN3
